company_id,rank,offer_product,prob,expected_revenue
comp_4ada534add89,3,Enterprise-300,0.002851801276752464,54.81526113655693
comp_4b0856a74088,1,Расширения,0.8945465529628952,11180.24559201166
comp_4b0856a74088,2,Тарифы Webinar СМБ,0.06299571467214062,726.9368825304064
comp_4b0856a74088,3,Enterprise-100,0.02031504435208415,301.5872241913787
comp_4b4246322707,1,Тарифы Webinar СМБ,0.5912633881750934,6822.863529548125
comp_4b4246322707,2,Расширения,0.37297022507060934,4661.466416684342
comp_4b4246322707,3,Enterprise Total-300,0.007208670589430887,225.2803913524239
comp_4b4865e7e662,1,Расширения,0.741630301548499,9269.06361924555
comp_4b4865e7e662,2,Enterprise-1000,0.17231551130009576,4376.163739809979
comp_4b4865e7e662,3,Тарифы Webinar СМБ,0.040745574453699376,470.1821548407923
comp_4b87fac23917,1,Тарифы Webinar СМБ,0.7187090113803792,8293.51791464659
comp_4b87fac23917,2,Расширения,0.25760727242616666,3219.6340844122183
comp_4b87fac23917,3,Enterprise-300,0.0035577403841203174,68.38431197902754
comp_4b93a575c690,1,Enterprise Total-300,0.6646935113842516,20772.54224844292
comp_4b93a575c690,2,Расширения,0.2510792869186951,3138.045841796015
comp_4b93a575c690,3,Тарифы Webinar СМБ,0.03457228322253756,398.94567302788465
comp_4b951f3b28a5,1,Тарифы Webinar СМБ,0.5808799880745691,6703.044641256679
comp_4b951f3b28a5,2,Расширения,0.3799195733594304,4748.3209468550795
comp_4b951f3b28a5,3,Enterprise-500,0.008457517877423134,169.0826974054433
comp_4bb863029b9c,1,Тарифы Webinar СМБ,0.7841799913111966,9049.018035485238
comp_4bb863029b9c,2,Расширения,0.18813417330938803,2351.343543700726
comp_4bb863029b9c,3,Enterprise-300,0.005412069831127048,104.02689117957817
comp_4bba04189344,1,Тарифы Webinar СМБ,0.970388374790466,11197.763271441887
comp_4bba04189344,2,Расширения,0.017242272477014833,215.49782984341238
comp_4bba04189344,3,Enterprise-150,0.0018986649460650579,31.862967128449103
comp_4bc7a36df85a,1,Тарифы Webinar СМБ,0.9695893822800984,11188.543324852271
comp_4bc7a36df85a,2,Расширения,0.012332064149591622,154.12893313624528
comp_4bc7a36df85a,3,Enterprise-3000,0.007263081568098469,269.7358223738638
comp_4c2a22f35878,1,Расширения,0.6194768956104575,7742.362662470809
comp_4c2a22f35878,2,Тарифы Webinar СМБ,0.3296842273035579,3804.3798004800146
comp_4c2a22f35878,3,Enterprise-300,0.007562801658691235,145.36670252046088
comp_4c4dae952975,1,Enterprise-100,0.5323760276385476,7903.394431185203
comp_4c4dae952975,2,Расширения,0.23010144076498099,2875.8599653727792
comp_4c4dae952975,3,Тарифы Webinar СМБ,0.10802146406342489,1246.5099688338548
comp_4c74b0f9dafc,1,Тарифы Webinar СМБ,0.9118700705772188,10522.493312887762
comp_4c74b0f9dafc,2,Расширения,0.07359264384760861,919.7775445632267
comp_4c74b0f9dafc,3,Enterprise-300,0.0021539727717660357,41.4021064258178
comp_4c7d82489281,1,Enterprise-100,0.7501006619433647,11135.627989727069
comp_4c7d82489281,2,Тарифы Webinar СМБ,0.12227154130457883,1410.9482449835036
comp_4c7d82489281,3,Расширения,0.10601721506595843,1325.027185552968
comp_4c9fdc48df60,1,Тарифы Webinar СМБ,0.9679538291182983,11169.669915401493
comp_4c9fdc48df60,2,Расширения,0.01931800231415138,241.4407718680468
comp_4c9fdc48df60,3,Enterprise-300,0.004696546697906109,90.27362312528464
comp_4ccd8314e1e8,1,Расширения,0.5121530338529307,6401.004710379936
comp_4ccd8314e1e8,2,Общие Тарифы Webinar Enterprise,0.22844725346972186,13518.702175914128
comp_4ccd8314e1e8,3,Тарифы Webinar СМБ,0.19747689899207718,2278.77788310191
comp_4cdf2e5bd63b,1,Тарифы Webinar СМБ,0.9661492489989386,11148.846025188152
comp_4cdf2e5bd63b,2,Расширения,0.014003068945865598,175.01352985834274
comp_4cdf2e5bd63b,3,Enterprise-150,0.005253724281330386,88.16681659652288
comp_4d011ca8039b,1,Расширения,0.7414644395319013,9266.990638165018
comp_4d011ca8039b,2,Тарифы Webinar СМБ,0.17813302340389087,2055.559896143332
comp_4d011ca8039b,3,Enterprise-300,0.014616397457880782,280.9458183712659
